method,n,run_id,pi_estimate,abs_error,runtime_sec,time_per_sample_sec,samples_per_sec
numba_parallel_steady,1000,1,3.132,0.009592653589792999,4.2499999835854396e-05,4.2499999835854395e-08,23529411.85558234
numba_parallel_steady,1000,2,3.052,0.08959265358979307,3.990000186604448e-05,3.990000186604448e-08,25062655.469472937
numba_parallel_steady,1000,3,3.22,0.07840734641020708,5.459999738377519e-05,5.459999738377519e-08,18315019.192604534
numba_parallel_steady,1000,4,3.1,0.04159265358979303,3.49000001733657e-05,3.4900000173365696e-08,28653294.986604627
numba_parallel_steady,1000,5,3.256,0.11440734641020667,3.430000288062729e-05,3.430000288062729e-08,29154516.50194473
numba_parallel_steady,1000,6,3.132,0.009592653589792999,4.999999873689376e-05,4.999999873689376e-08,20000000.505242508
numba_parallel_steady,1000,7,3.184,0.04240734641020705,3.4599997889017686e-05,3.4599997889017685e-08,28901735.86737148
numba_parallel_steady,1000,8,3.04,0.10159265358979308,3.3799999073380604e-05,3.37999990733806e-08,29585799.627656087
numba_parallel_steady,1000,9,3.124,0.017592653589793006,3.510000169626437e-05,3.510000169626437e-08,28490027.113201767
numba_parallel_steady,1000,10,3.172,0.030407346410207037,3.5400000342633575e-05,3.5400000342633575e-08,28248587.297205806
numba_parallel_steady,10000,1,3.1472,0.0056073464102071036,0.00021600000036414713,2.1600000036414712e-08,46296296.21824693
numba_parallel_steady,10000,2,3.1244,0.01719265358979305,0.00012690000221482478,1.2690000221482478e-08,78802205.08642177
numba_parallel_steady,10000,3,3.1624,0.020807346410206762,0.00012649999916902743,1.2649999916902743e-08,79051383.91849431
numba_parallel_steady,10000,4,3.1288,0.01279265358979309,0.00012369999967631884,1.2369999967631884e-08,80840743.94637531
numba_parallel_steady,10000,5,3.1244,0.01719265358979305,0.0001281000004382804,1.2810000043828041e-08,78064012.22315435
numba_parallel_steady,10000,6,3.1476,0.0060073464102070595,0.00012350000179139897,1.2350000179139898e-08,80971658.7445138
numba_parallel_steady,10000,7,3.1556,0.014007346410207067,0.00012549999883049168,1.2549999883049168e-08,79681275.6429316
numba_parallel_steady,10000,8,3.144,0.002407346410207012,0.00014240000018617138,1.4240000018617138e-08,70224719.00931297
numba_parallel_steady,10000,9,3.1464,0.004807346410206748,0.0001556999995955266,1.556999995955266e-08,64226075.95361425
numba_parallel_steady,10000,10,3.1288,0.01279265358979309,0.00014799999917158857,1.4799999917158858e-08,67567567.94576855
numba_parallel_steady,100000,1,3.14264,0.001047346410206984,0.001215800002682954,1.215800002682954e-08,82250369.94516042
numba_parallel_steady,100000,2,3.13736,0.004232653589792967,0.0010521000003791414,1.0521000003791414e-08,95047999.20536391
numba_parallel_steady,100000,3,3.1418,0.0002073464102068101,0.001427200000762241,1.427200000762241e-08,70067264.53656942
numba_parallel_steady,100000,4,3.14584,0.004247346410207076,0.0014310000005934853,1.4310000005934853e-08,69881201.9276915
numba_parallel_steady,100000,5,3.14452,0.002927346410206866,0.0012124000022595283,1.2124000022595282e-08,82481029.20952803
numba_parallel_steady,100000,6,3.1442,0.00260734641020699,0.0010508000013942365,1.0508000013942365e-08,95165587.99706572
numba_parallel_steady,100000,7,3.14052,0.0010726535897931377,0.0011701000003085937,1.1701000003085938e-08,85462780.93635306
numba_parallel_steady,100000,8,3.14284,0.001247346410206962,0.0017384000020683743,1.7384000020683743e-08,57524160.078818746
numba_parallel_steady,100000,9,3.13008,0.011512653589793143,0.0010674000004655682,1.0674000004655682e-08,93685591.11521733
numba_parallel_steady,100000,10,3.14648,0.004887346410206828,0.0021014000012655742,2.1014000012655743e-08,47587322.7085632
numba_parallel_steady,1000000,1,3.145364,0.0037713464102067107,0.012200799999845913,1.2200799999845913e-08,81961838.56899787
numba_parallel_steady,1000000,2,3.143064,0.001471346410206742,0.012075200000253972,1.2075200000253972e-08,82814363.32143298
numba_parallel_steady,1000000,3,3.14084,0.0007526535897932618,0.01292499999908614,1.2924999999086139e-08,77369439.07703713
numba_parallel_steady,1000000,4,3.136732,0.004860653589793262,0.011159699999552686,1.1159699999552686e-08,89608143.59168105
numba_parallel_steady,1000000,5,3.142244,0.000651346410206699,0.011910699999134522,1.1910699999134521e-08,83958121.6950023
numba_parallel_steady,1000000,6,3.140692,0.0009006535897930767,0.006945600001927232,6.945600001927232e-09,143976042.34659708
